epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.38449,3.38549,2.30497,1.78755,0.50232,0.69951,0.50001,0.18773,2.1436,1.59284,1.41627,0,0,0
2,16.3689,2.93976,1.98161,1.78675,0.51375,0.72414,0.51498,0.19354,2.12815,1.56512,1.41403,1.9604e-05,1.9604e-05,1.9604e-05
3,25.3831,3.2717,2.44719,1.74484,0.52234,0.75417,0.54624,0.20831,2.0908,1.5278,1.40502,3.8416e-05,3.8416e-05,3.8416e-05
4,33.8641,3.18665,2.62239,1.71121,0.54841,0.77173,0.56393,0.22321,2.04768,1.48157,1.38677,5.6436e-05,5.6436e-05,5.6436e-05
5,41.9691,2.70705,1.89959,1.65175,0.56249,0.76847,0.5762,0.23507,1.97839,1.46028,1.36642,7.3664e-05,7.3664e-05,7.3664e-05
6,50.5645,3.25571,2.78452,1.64843,0.57215,0.77734,0.58001,0.2504,1.90895,1.43917,1.34246,9.01e-05,9.01e-05,9.01e-05
7,58.6326,3.32593,2.77842,1.5999,0.58409,0.77833,0.59649,0.26776,1.83739,1.41169,1.3149,0.000105744,0.000105744,0.000105744
8,66.7337,3.07154,2.04895,1.54392,0.58106,0.7931,0.60499,0.28522,1.7637,1.40091,1.29067,0.000120596,0.000120596,0.000120596
9,75.7613,2.79497,2.51157,1.43891,0.58793,0.7942,0.59325,0.28771,1.70769,1.41017,1.27588,0.000134656,0.000134656,0.000134656
10,85.8757,3.15509,2.55434,1.4605,0.58326,0.76355,0.59292,0.29105,1.66097,1.40755,1.26078,0.000147924,0.000147924,0.000147924
11,93.9842,2.01282,1.80036,1.35987,0.55544,0.75862,0.57572,0.27303,1.65001,1.44762,1.26772,0.0001604,0.0001604,0.0001604
12,103.05,2.30325,2.30463,1.35573,0.56136,0.74384,0.56719,0.26058,1.63932,1.46927,1.26616,0.000172084,0.000172084,0.000172084
13,112.188,1.85214,1.95459,1.28296,0.56069,0.71921,0.55384,0.24774,1.62707,1.49953,1.26078,0.000182976,0.000182976,0.000182976
14,119.555,1.59203,1.46483,1.23128,0.57369,0.72414,0.59877,0.26274,1.57345,1.47241,1.23678,0.000193076,0.000193076,0.000193076
15,127.214,1.64554,1.57876,1.31315,0.60694,0.71921,0.61092,0.28231,1.51574,1.42365,1.20802,0.000202384,0.000202384,0.000202384
16,135.313,1.59215,1.65355,1.16427,0.6486,0.76355,0.66286,0.31456,1.45343,1.3704,1.17086,0.0002109,0.0002109,0.0002109
17,142.07,1.41582,1.80468,1.18358,0.65127,0.78325,0.68496,0.32894,1.4163,1.34378,1.14904,0.000218624,0.000218624,0.000218624
18,149.943,1.51594,1.55324,1.18503,0.65127,0.78325,0.68496,0.32894,1.4163,1.34378,1.14904,0.000225556,0.000225556,0.000225556
19,156.862,1.50567,1.61995,1.24218,0.62021,0.84466,0.69429,0.35366,1.36477,1.28563,1.12263,0.000231696,0.000231696,0.000231696
20,164.089,1.32765,1.44117,1.2113,0.62021,0.84466,0.69429,0.35366,1.36477,1.28563,1.12263,0.000237044,0.000237044,0.000237044
21,172.728,1.35,1.34592,1.13411,0.64338,0.83744,0.70825,0.37125,1.32729,1.24202,1.10183,0.0002416,0.0002416,0.0002416
22,179.513,1.31796,1.27549,1.14456,0.64338,0.83744,0.70825,0.37125,1.32729,1.24202,1.10183,0.000245364,0.000245364,0.000245364
23,186.818,1.35445,1.1383,1.17177,0.63966,0.85714,0.71792,0.39422,1.28579,1.20796,1.07645,0.000248336,0.000248336,0.000248336
24,195.158,1.25321,1.26997,1.10873,0.63966,0.85714,0.71792,0.39422,1.28579,1.20796,1.07645,0.000250516,0.000250516,0.000250516
25,204.799,1.72366,1.90446,1.13615,0.6439,0.90856,0.72864,0.42139,1.24203,1.15274,1.05371,0.000251904,0.000251904,0.000251904
26,212.028,1.33919,1.30675,1.13756,0.6439,0.90856,0.72864,0.42139,1.24203,1.15274,1.05371,0.0002525,0.0002525,0.0002525
27,221.569,1.26901,1.25299,1.09365,0.67137,0.91133,0.74801,0.44785,1.19517,1.11452,1.03701,0.000252304,0.000252304,0.000252304
28,239.079,1.3238,1.52086,1.12806,0.67137,0.91133,0.74801,0.44785,1.19517,1.11452,1.03701,0.000251316,0.000251316,0.000251316
29,257.306,1.16621,1.16348,1.07287,0.66475,0.92611,0.75354,0.47272,1.15968,1.07917,1.02391,0.000249536,0.000249536,0.000249536
30,272.806,1.20533,1.17135,1.15536,0.66475,0.92611,0.75354,0.47272,1.15968,1.07917,1.02391,0.000246964,0.000246964,0.000246964
31,291.285,1.5045,1.35964,1.07184,0.66144,0.93103,0.76097,0.49819,1.11828,1.05516,1.01402,0.0002436,0.0002436,0.0002436
32,307.99,1.25661,1.23247,1.14517,0.66144,0.93103,0.76097,0.49819,1.11828,1.05516,1.01402,0.000239444,0.000239444,0.000239444
33,323.735,1.46723,1.44233,1.07984,0.65263,0.95326,0.7715,0.5182,1.08648,1.03153,1.0053,0.000234496,0.000234496,0.000234496
34,331.03,1.13356,1.16992,1.07139,0.65263,0.95326,0.7715,0.5182,1.08648,1.03153,1.0053,0.000228756,0.000228756,0.000228756
35,338.232,1.14192,1.03018,1.10648,0.6564,0.96552,0.77239,0.53764,1.05596,1.00782,1.00038,0.000222224,0.000222224,0.000222224
36,346.867,1.30501,1.3289,1.03609,0.6564,0.96552,0.77239,0.53764,1.05596,1.00782,1.00038,0.0002149,0.0002149,0.0002149
37,354.257,1.13394,1.07118,1.04624,0.66219,0.97044,0.7756,0.54907,1.03383,0.99064,0.99369,0.000206784,0.000206784,0.000206784
38,362.439,1.13719,1.17787,1.02776,0.66219,0.97044,0.7756,0.54907,1.03383,0.99064,0.99369,0.000197876,0.000197876,0.000197876
39,371.411,1.32855,1.47906,1.11747,0.65976,0.96476,0.77344,0.56144,1.01685,0.97929,0.99003,0.000188176,0.000188176,0.000188176
40,378.322,1.09994,0.98345,1.10088,0.65976,0.96476,0.77344,0.56144,1.01685,0.97929,0.99003,0.000177684,0.000177684,0.000177684
41,385.42,1.34615,1.44084,1.03486,0.65883,0.96059,0.76975,0.56155,1.00035,0.96799,0.98971,0.0001664,0.0001664,0.0001664
42,392.248,1.06712,1.41501,0.99112,0.65883,0.96059,0.76975,0.56155,1.00035,0.96799,0.98971,0.000154324,0.000154324,0.000154324
43,399.368,1.10423,1.37943,0.99462,0.66099,0.96059,0.76865,0.56012,0.98661,0.96193,0.98867,0.000141456,0.000141456,0.000141456
44,406.462,0.9938,1.13745,1.05694,0.66099,0.96059,0.76865,0.56012,0.98661,0.96193,0.98867,0.000127796,0.000127796,0.000127796
45,413.754,1.2103,1.31548,1.03616,0.66776,0.94581,0.77111,0.55977,0.97508,0.95755,0.98931,0.000113344,0.000113344,0.000113344
46,420.731,1.0566,1.11772,1.03404,0.66776,0.94581,0.77111,0.55977,0.97508,0.95755,0.98931,9.81e-05,9.81e-05,9.81e-05
47,427.784,1.07393,1.35733,0.99117,0.67139,0.94607,0.76935,0.56198,0.96664,0.95494,0.98784,8.2064e-05,8.2064e-05,8.2064e-05
48,434.559,0.94818,1.21809,1.0346,0.67139,0.94607,0.76935,0.56198,0.96664,0.95494,0.98784,6.5236e-05,6.5236e-05,6.5236e-05
49,441.504,1.09076,1.13664,0.97543,0.67314,0.94346,0.77191,0.56469,0.96101,0.95455,0.98837,4.7616e-05,4.7616e-05,4.7616e-05
50,448.627,1.47056,1.55482,1.02921,0.67314,0.94346,0.77191,0.56469,0.96101,0.95455,0.98837,2.9204e-05,2.9204e-05,2.9204e-05
